Delta Test,T,Method,Repeat,Estimated_R_delta,True_R_delta,MSE
0.1,500,LDR2PE-CP,15,0.5600098003654437,0.4053099105768362,0.023932055900607305
0.1,500,DRO-IPW,15,0.5270171661348524,0.4053099105768362,0.014812656055464266
0.1,500,LDR2PE-CP,16,0.4822773693455298,0.4053099105768362,0.005923989709310549
0.1,500,DRO-IPW,16,0.4987395836453205,0.4053099105768362,0.008729103809683864
0.1,500,LDR2PE-CP,17,0.5054724000504592,0.4053099105768362,0.010032524297553648
0.1,500,DRO-IPW,17,0.4839421461126737,0.4053099105768362,0.006183028465363431
0.1,500,LDR2PE-CP,18,0.47668634855097725,0.4053099105768362,0.005094595897876406
0.1,500,DRO-IPW,18,0.46233128588602357,0.4053099105768362,0.0032514372421512047
0.1,500,LDR2PE-CP,19,0.3468722221854204,0.4053099105768362,0.00341496342453221
0.1,500,DRO-IPW,19,0.34330909484158023,0.4053099105768362,0.003844101151837162
0.1,1000,LDR2PE-CP,0,0.5260965368504732,0.4053099105768362,0.014589409086567258
0.1,1000,DRO-IPW,0,0.5274064454646737,0.4053099105768362,0.014907563831616934
0.1,1000,LDR2PE-CP,1,0.4692042776797662,0.4053099105768362,0.0040824901474839845
0.1,1000,DRO-IPW,1,0.4836833087682342,0.4053099105768362,0.006142389544067426
0.1,1000,LDR2PE-CP,2,0.4048859894437754,0.4053099105768362,1.7970912705553418e-07
0.1,1000,DRO-IPW,2,0.44959555531148665,0.4053099105768362,0.0019612183295636743
0.1,1000,LDR2PE-CP,3,0.4116141098540652,0.4053099105768362,3.9742928527014994e-05
0.1,1000,DRO-IPW,3,0.43290152964640305,0.4053099105768362,0.0007612974428800858
0.1,1000,LDR2PE-CP,4,0.3714492338285571,0.4053099105768362,0.0011465454298514477
0.1,1000,DRO-IPW,4,0.3632661318954795,0.4053099105768362,0.0017676793258069015
0.1,1000,LDR2PE-CP,5,0.554154641031848,0.4053099105768362,0.022154753784225115
0.1,1000,DRO-IPW,5,0.5408939821257839,0.4053099105768362,0.018383040457790167
0.1,1000,LDR2PE-CP,6,0.35168078664610347,0.4053099105768362,0.0028760829335778885
0.1,1000,DRO-IPW,6,0.4084861090574307,0.4053099105768362,1.0088236788130985e-05
0.1,1000,LDR2PE-CP,7,0.3746796294688727,0.4053099105768362,0.0009382141207528662
0.1,1000,DRO-IPW,7,0.39877183062044574,0.4053099105768362,4.274648951615443e-05
0.1,1000,LDR2PE-CP,8,0.41960053151255206,0.4053099105768362,0.0002042218467283207
0.1,1000,DRO-IPW,8,0.4843890803657672,0.4053099105768362,0.006253515094506583
0.1,1000,LDR2PE-CP,9,0.43463105333025526,0.4053099105768362,0.0008597294123663797
0.1,1000,DRO-IPW,9,0.44684185281844985,0.4053099105768362,0.0017249022263607333
0.1,1000,LDR2PE-CP,10,0.44349715561354824,0.4053099105768362,0.0014582656834938898
0.1,1000,DRO-IPW,10,0.48455608348864143,0.4053099105768362,0.006279955921167735
0.1,1000,LDR2PE-CP,11,0.3985455308204362,0.4053099105768362,4.575683348879392e-05
0.1,1000,DRO-IPW,11,0.4318081636684735,0.4053099105768362,0.0007021574169084676
0.1,1000,LDR2PE-CP,12,0.43182774210754854,0.4053099105768362,0.0007031953890912423
